Count,Name
1,"Uro, Titan of Nature's Wrath"
1,Embercleave
1,"Purphoros, God of the Forge"
1,"Vivien, Arkbow Ranger"
1,"Thassa, Deep-Dwelling"
1,Gideon of the Trials
1,Nyxbloom Ancient
1,Leyline of the Void
1,"Nissa, Voice of Zendikar"
1,Murderous Rider // Swift End
1,"Nicol Bolas, God-Pharaoh"
1,Arclight Phoenix
1,Echo of Eons
1,"Elspeth, Sun's Nemesis"
1,Sulfur Falls
1,Absorb
1,Shadowspear
1,Ox of Agonas
1,Combustible Gearhulk
1,Castle Locthwain
1,"Chandra, Acolyte of Flame"
1,Prime Speaker Vannifar
1,Deputy of Detention
1,Castle Ardenvale
1,Idyllic Tutor
1,One with Nothing
1,Realm-Cloaked Giant // Cast Off
1,Guardian Project
1,Knight of Autumn
1,Legion Warboss
1,Biogenic Ooze
1,Stonecoil Serpent
1,"Polukranos, Unchained"
1,Dream Trawler
1,"Torbran, Thane of Red Fell"
1,Beast Whisperer
1,"Ayara, First of Locthwain"
1,"Kethis, the Hidden Hand"
1,Temple of Epiphany
1,Lightning Bolt
1,Setessan Champion
1,"Emry, Lurker of the Loch"
1,Finale of Promise
1,Treasure Map
1,Bonecrusher Giant // Stomp
1,Dreadhorde Arcanist
1,"Ral, Izzet Viceroy"
1,Bolas's Citadel
1,Karn's Bastion
1,Spark Double
1,Legion's End
1,"Rashmi, Eternities Crafter"
1,Gutterbones
1,"Niv-Mizzet, Parun"
1,"Vilis, Broker of Blood"
1,"Roalesk, Apex Hybrid"
1,Temple of Deceit
1,Thassa's Intervention
1,Cindervines
1,"Dovin, Grand Arbiter"
1,Fervent Champion
1,Heart of Kiran
1,The Circle of Loyalty
1,Woe Strider
1,"Gadwick, the Wizened"
1,Temple of Malice
1,Angel of Grace
1,Priest of Forgotten Gods
1,Ritual of Soot
1,Fires of Invention
1,Outlaws' Merriment
1,Unmoored Ego
1,Unbreakable Formation
1,Phoenix of Ash
1,Fae of Wishes // Granted
1,Dreadhorde Butcher
1,Archon of Sun's Grace
1,Quasiduplicate
1,Ravager Wurm
1,"Kunoros, Hound of Athreos"
1,Emergency Powers
1,Casualties of War
1,Benthic Biomancer
1,"Judith, the Scourge Diva"
1,Nylea's Intervention
1,Harmonious Archon
1,Growth-Chamber Guardian
1,Wicked Wolf
1,Incubation Druid
1,"Lavinia, Azorius Renegade"
1,Treacherous Blessing
1,Command the Dreadhorde
1,Erebos's Intervention
1,Hero of Precinct One
1,"Tajic, Legion's Edge"
1,Return of the Wildspeaker
1,Swiftblade Vindicator
1,Simic Ascendancy
1,Vantress Gargoyle
1,Worthy Knight
1,Bronzehide Lion
1,Revival // Revenge
1,Irencrag Pyromancer
1,Doom Foretold
1,Eidolon of Obstruction
1,Embodiment of Agonies
1,"Fblthp, the Lost"
1,"Thryx, the Sudden Storm"
1,"Zegana, Utopian Speaker"
1,Midnight Clock
1,"Aphemia, the Cacophony"
1,Pestilent Spirit
1,"Dalakos, Crafter of Wonders"
1,Ashiok's Erasure
1,Enigmatic Incarnation
1,Giant Killer // Chop Down
1,Escape to the Wilds
1,Oathsworn Knight
1,Verity Circle
1,Rampage of the Clans
1,Nikya of the Old Ways
1,Wavebreak Hippocamp
1,Awakening of Vitu-Ghazi
1,Chandra's Regulator
1,Commence the Endgame
1,Irencrag Feat
1,Living Twister
1,Mirror March
1,Role Reversal
1,Stormfist Crusader
1,Thrash // Threat
1,Witch's Vengeance
1,Precognitive Perception
1,"Tibalt, Rakish Instigator"
1,Purphoros's Intervention
1,Font of Agonies
1,Glass of the Guildpact
1,Ignite the Beacon
1,Opportunistic Dragon
1,Paradise Druid
1,Repudiate // Replicate
1,Warrant // Warden
1,Awaken the Erstwhile
1,Feasting Troll King
1,Happily Ever After
1,Mantle of the Wolf
1,Stolen by the Fae
1,"Taranika, Akroan Veteran"
1,Deliver Unto Evil
1,Immolation Shaman
1,Light of the Legion
1,Widespread Brutality
1,Amplifire
1,Nessian Boar
1,Erratic Cyclops
1,Sundering Stroke
1,Allure of the Unknown
1,"Callaphe, Beloved of the Sea"
1,Gray Merchant of Asphodel
1,Silent Submersible
1,Thrill of Possibility
1,Tyrant's Scorn
1,Dockside Extortionist
1,Ob Nixilis Reignited
1,Sarkhan the Masterless
